work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2022,MI,FT,SECURITY ANALYST,60000,USD,60000,US,100,US,M
2022,MI,FT,SECURITY ANALYST,50000,USD,50000,US,100,US,M
2022,SE,FT,SECURITY ENGINEER,210000,USD,210000,CA,0,CA,M
2022,SE,FT,SECURITY ENGINEER,160000,USD,160000,CA,0,CA,M
2022,SE,FT,SECURITY ANALYST,144200,USD,144200,US,0,US,M
2022,SE,FT,SECURITY ANALYST,132870,USD,132870,US,0,US,M
2022,SE,FT,SECURITY ENGINEER,175000,USD,175000,US,0,US,M
2022,SE,FT,SECURITY ENGINEER,120000,USD,120000,US,0,US,M
2022,SE,FT,PENETRATION TESTER,80000,USD,80000,US,100,US,M
2022,MI,FT,SECURITY DEVOPS ENGINEER,91670,USD,91670,US,0,US,L
2022,MI,FT,SECURITY DEVOPS ENGINEER,63500,USD,63500,US,0,US,L
2022,SE,FT,INFORMATION SECURITY MANAGER,180000,USD,180000,US,0,US,M
2022,SE,FT,INFORMATION SECURITY MANAGER,90000,USD,90000,US,0,US,M
2022,EN,FT,PENETRATION TESTER,40000,EUR,43303,GR,0,GR,M
2022,EN,FT,PENETRATION TESTER,25000,EUR,27064,GR,0,GR,M
2022,SE,FT,SECURITY ENGINEER,184800,USD,184800,US,100,US,M
2022,SE,FT,PENETRATION TESTER,207500,USD,207500,CA,100,CA,M
2022,SE,FT,PENETRATION TESTER,125000,USD,125000,CA,100,CA,M
2022,MI,FT,SECURITY ENGINEER,118600,USD,118600,US,100,US,M
2022,SE,FT,SECURITY CONSULTANT,175000,USD,175000,US,100,US,M
2022,SE,FT,SECURITY CONSULTANT,90000,USD,90000,US,100,US,M
2022,MI,FT,SECURITY CONSULTANT,80000,GBP,102646,GB,100,GB,M
2022,MI,FT,SECURITY CONSULTANT,65000,GBP,83400,GB,100,GB,M
2022,SE,FT,SECURITY ENGINEER,220000,USD,220000,US,100,US,M
2022,SE,FT,SECURITY ENGINEER,145000,USD,145000,US,100,US,M
2022,SE,FT,SECURITY ENGINEER,118600,USD,118600,US,100,US,M
2022,SE,FT,SECURITY ENGINEER,165400,USD,165400,US,0,US,M
2022,SE,FT,SECURITY ENGINEER,132320,USD,132320,US,0,US,M
2022,SE,FT,SECURITY ENGINEER,160000,USD,160000,US,100,US,M
2022,MI,FT,VULNERABILITY ANALYST,115000,USD,115000,US,100,US,M
2022,MI,FT,VULNERABILITY ANALYST,100000,USD,100000,US,100,US,M
2022,SE,FT,SECURITY ENGINEER,131500,USD,131500,US,100,US,M
2022,SE,FT,SECURITY ENGINEER,111775,USD,111775,US,100,US,M
2022,SE,FT,SECURITY ENGINEER,221500,USD,221500,US,100,US,M
2022,SE,FT,SECURITY ENGINEER,104400,USD,104400,US,100,US,M
2022,SE,FT,SECURITY ENGINEER,210000,USD,210000,US,0,US,M
2022,SE,FT,SECURITY ENGINEER,160000,USD,160000,US,0,US,M
2022,MI,FT,SECURITY ENGINEER,140000,USD,140000,US,100,US,S
2022,MI,FT,SECURITY ENGINEER,90000,USD,90000,US,100,US,S
2022,SE,FT,SECURITY ENGINEER,201000,USD,201000,US,100,US,M
2022,MI,FT,SECURITY ENGINEER,172000,USD,172000,US,0,US,M
2022,MI,FT,SECURITY ENGINEER,87000,USD,87000,US,0,US,M
2022,MI,FT,SECURITY ENGINEER,141300,USD,141300,US,0,US,M
2022,MI,FT,SECURITY ENGINEER,102100,USD,102100,US,0,US,M
2022,MI,FT,SECURITY ENGINEER,88100,USD,88100,US,0,US,M
2022,SE,FT,SECURITY DEVOPS ENGINEER,120000,USD,120000,US,100,US,M
2022,SE,FT,SECURITY DEVOPS ENGINEER,30000,USD,30000,US,100,US,M
2022,SE,FT,CYBER THREAT INTELLIGENCE ANALYST,222500,USD,222500,US,100,US,M
2022,SE,FT,CYBER THREAT INTELLIGENCE ANALYST,135000,USD,135000,US,100,US,M
2022,EX,FT,INFORMATION SECURITY OFFICER,300000,USD,300000,US,100,US,M
2022,EX,FT,INFORMATION SECURITY OFFICER,250000,USD,250000,US,100,US,M
2022,SE,FT,SECURITY ANALYST,168400,USD,168400,US,100,US,M
2022,SE,FT,SECURITY ANALYST,148000,USD,148000,US,100,US,M
2022,SE,FT,SECURITY ENGINEER,140000,GBP,179632,GB,0,GB,M
2022,SE,FT,SECURITY ENGINEER,120000,GBP,153970,GB,0,GB,M
2022,MI,FT,SECURITY ANALYST,65000,USD,65000,US,100,US,M
2022,MI,FT,SECURITY ANALYST,55000,USD,55000,US,100,US,M
2022,SE,FT,SECURITY ENGINEER,230000,USD,230000,US,0,US,M
2022,SE,FT,SECURITY ENGINEER,182750,USD,182750,US,100,US,M
2022,MI,FT,SECURITY ENGINEER,210000,USD,210000,US,100,US,M
2022,MI,FT,SECURITY ENGINEER,140000,USD,140000,US,100,US,M
2022,MI,FT,SECURITY ENGINEER,182000,USD,182000,US,100,US,M
2022,MI,FT,SECURITY ENGINEER,153000,USD,153000,US,100,US,M
2022,MI,FT,SECURITY ENGINEER,208775,USD,208775,US,100,US,M
2022,MI,FT,SECURITY ENGINEER,147800,USD,147800,US,100,US,M
2022,MI,FT,CYBER SECURITY ANALYST,111000,USD,111000,CH,50,CH,L
2022,MI,FT,SECURITY ENGINEER,200000,USD,200000,US,100,US,L
2022,SE,FT,INFORMATION SECURITY MANAGER,1078000,INR,20873,IN,0,BR,L
2022,EN,FT,SECURITY CONSULTANT,75000,CAD,58838,CA,100,CA,L
2022,EX,FT,DIRECTOR OF INFORMATION SECURITY,220000,USD,220000,US,100,US,M
2022,EN,FT,CYBER SECURITY ARCHITECT,150000,USD,150000,GH,100,US,M
2022,SE,FT,PRINCIPAL SECURITY ENGINEER,271600,USD,271600,US,100,US,L
2022,MI,FT,SECURITY CONSULTANT,122500,USD,122500,US,100,US,S
2022,MI,FT,CYBER SECURITY ARCHITECT,129000,USD,129000,US,100,US,L
2022,SE,FT,PRINCIPAL SECURITY ENGINEER,260000,USD,260000,US,100,US,L
2022,SE,FT,INFORMATION SECURITY MANAGER,145000,USD,145000,US,100,US,L
2022,SE,FT,VULNERABILITY RESEARCHER,135000,USD,135000,ES,100,US,S
2022,EN,FT,INFORMATION SECURITY ANALYST,70000,BRL,13678,BR,100,BR,L
2022,MI,FT,CYBER THREAT INTELLIGENCE ANALYST,126000,USD,126000,US,0,US,M
2022,MI,FT,COMPUTER FORENSIC SOFTWARE ENGINEER,122000,USD,122000,US,50,US,L
2022,EN,FT,CYBER SECURITY ANALYST,45500,EUR,49257,DE,50,DE,S
2022,MI,FT,SECURITY OPERATIONS ENGINEER,75000,EUR,81194,FR,100,FR,L
2022,MI,FT,INCIDENT RESPONSE ANALYST,140000,USD,140000,US,100,US,L
2022,SE,FT,CYBER SECURITY ARCHITECT,150000,USD,150000,US,100,US,L
2021,SE,FT,SECURITY RESEARCHER,172500,USD,172500,US,100,US,L
2022,MI,FT,CYBER THREAT INTELLIGENCE ANALYST,120000,USD,120000,US,50,US,L
2022,EX,FT,APPLICATION SECURITY ANALYST,259000,USD,259000,US,50,US,L
2022,SE,FT,CYBER THREAT INTELLIGENCE ANALYST,180000,USD,180000,US,50,US,L
2022,SE,FT,INFORMATION SECURITY MANAGER,250000,USD,250000,US,100,US,L
2022,EN,FT,CYBER THREAT INTELLIGENCE ANALYST,105000,USD,105000,US,100,US,L
2022,SE,FT,IT SECURITY ANALYST,104000,USD,104000,US,100,US,M
2022,SE,FT,SECURITY RESEARCHER,192500,USD,192500,US,100,US,S
2022,EN,FT,PENETRATION TESTER,15240,USD,5965.92,AZ,0,AZ,L
2022,MI,FT,PENETRATION TESTER,35620,EUR,38561,RO,0,RO,S
2021,SE,FT,SECURITY ENGINEER,190000,USD,190000,US,0,US,L
2022,MI,FT,CYBER SECURITY ENGINEER,100000,USD,100000,US,100,US,L
2022,EN,FT,PENETRATION TESTER,15240,USD,10000,AR,100,ES,S
2022,SE,FT,CLOUD SECURITY ARCHITECT,224000,USD,224000,US,100,US,L
2022,SE,FT,CYBER SECURITY ANALYST,125000,USD,125000,US,100,US,L
2021,SE,FT,CYBER THREAT INTELLIGENCE ANALYST,120000,USD,120000,US,100,US,L
2022,MI,FT,CYBER SECURITY ENGINEER,15240,USD,10000,DZ,50,DZ,M
2022,SE,FT,APPLICATION SECURITY ENGINEER,42000,EUR,45468,RO,100,RO,L
2022,SE,FT,PRINCIPAL SECURITY ENGINEER,215000,USD,215000,US,100,US,L
2022,MI,FT,INFORMATION SECURITY ENGINEER,260000,USD,260000,US,100,US,L
2022,MI,FT,INFORMATION SECURITY ENGINEER,45000,USD,45000,RO,100,RO,L
2022,SE,FT,SECURITY RESEARCHER,300000,BRL,58624,BR,100,AQ,L
2021,EN,FT,PENETRATION TESTER,50000,USD,50000,US,100,US,L
2022,SE,FT,SECURITY CONSULTANT,149000,USD,149000,US,100,US,M
2020,SE,FT,SECURITY ENGINEER,107000,USD,107000,US,0,US,L
2022,SE,FT,SECURITY CONSULTANT,140000,USD,140000,US,100,US,M
2022,SE,FT,SECURITY ENGINEER,232000,CAD,182006,CA,100,US,L
2022,SE,FT,INFORMATION SECURITY MANAGER,127000,USD,127000,US,100,US,L
2022,EN,FT,APPLICATION SECURITY ANALYST,50000,USD,50000,AF,100,AX,L
2022,MI,FT,SECURITY OPERATIONS ENGINEER,1078000,INR,18263,IN,100,IN,L
2022,MI,FT,INFORMATION SECURITY ENGINEER,130000,USD,130000,US,100,US,S
2022,SE,FT,INFORMATION SECURITY MANAGER,135000,USD,135000,US,0,US,L
2021,SE,FT,INFORMATION SECURITY MANAGER,135000,USD,135000,US,0,US,L
2022,EX,FT,INFORMATION SECURITY ARCHITECT,325000,USD,321950,US,100,US,L
2021,EN,FT,SECURITY RESEARCHER,100000,USD,100000,US,50,US,L
2022,SE,FT,INFORMATION SECURITY COMPLIANCE MANAGER,150000,USD,150000,US,100,US,L
2022,MI,FT,PRODUCT SECURITY ENGINEER,130000,USD,130000,US,100,US,M
